sunday hai aaj,संडे है आज
bhag ja,bhag ja
gd mng,gd mng
hasi to fasi,टुकड़ों में काट लें
sending hug,हग भेजना
kya hora hai,क्या होरा है
hahahaha,हा हा हा हा
apki smile,आपकी स्माइल
banja tu meri rani,स्पा यहाँ घाव को मापता है
mmmuuuaahhh,mmmuuuaahhh
mmmuuuaaahhh,mmmuuuaaahhh
samjha karo,समझा करो
so sweet,कितना प्यारा
kalash,कलश
Navratri calender,नवरात्री केलिन्डर
saare bolo jai mata di,सभी कहते हैं, जय माता दी
Raam raam,खिड़की की खिड़की
sare bolo jai mata di,बोलो जय माता की होगी
wass,Wass
kya ho rha hai,क्या हो रहा है
shubh raatri,शुभ रात्रि
gud nyt,भगवान नया
gd nt,शुभ रात्रि
boht hard,बोहत हार्ड
boht,बोहत
oky,sts
hahahahahha,hahahahahha
hhhaaa,hhhaaa
slpy,slpy
gud 9yt,भगवान ९
i'm sleep,मै सो रही हू
i am sleeping,मैं सो रहा हूँ
so rha hoon,सो रहा हूँ
hiii,वह है
Hahahahahah,Hahahahahah
hehehheheheh,hehehheheheh
ha ha ha ha,हा हा हा हा
hhhhhaaaahhhhaaa,hhhhhaaaahhhhaaa
2nd oct,2 सप्तक
vijay Dassmi,vijay Dassmi
vijay Dashmi,विजय दशमी
diamond ring,हीरे की अंगूठी
pooja ki thali,पूजा की थाली
laxmi ji,रहिमी याद
subh deepawali,शुभ दीपावली
mera bhai,मेरा भाई
chatt pooja,चैट पूजा
Diamond for my diamond,मेरे हीरे के लिए हीरा
ek no.,अब भी।
550 Happy Guru nanak jayanti,550 हैप्पी गुरु होनहार हैं
guru prakash,गुरु प्रकाश
gurupurab di lakh lakh badhai,गुरुपुरब दी लख लख बधाई
gurgurab di lakh lakh badhai,गुरगुरब दी लख लख बधाई
550th Happy Guru Nanak Jayanti,550 वां हैप्पी गुरु नानक जयंती
gurpurab diya lakh lakh vadhaiya,गुरपुरब दिया लाख लाख वधइया
That's Cool,यह अच्छा है
Television day,टेलीविजन का दिन
tracktor,tracktor
Has mat pagli,मट पगली है
dil wale,दिल वाले
harmonium bajate the,हारमोनियम बजाते थे
abba harmonium bajate the,अब्बा हारमोनियम बजाते थे
i love winter,मुझे सर्दियां पसंद हैं
Happy Indian navy Day,हैप्पी इंडियन नेवी डे
navy day,नौसेना का दिन
indian navy,भारतीय नौसेना
4 dec,4 डिसे
humans rights day,मानव अधिकार दिवस
human rights,मानवाधिकार
Rajini,रजनी
tea day,चाय का दिन
mathematics day,गणित का दिन
equation,समीकरण
farmers,किसानों
farmers day,किसान दिवस
winter vibes,शीतकालीन वाइब्स
x-mas,एक्स-मास
x-mas tree,क्रिसमस का पेड़
merry chistmas,क्रिसमस की बधाई
weight loss,वजन घटना
inch tape,इंच टेप
asignment,असिगनमेंट
work load,काम का बोझ
sarre,Sarre
reolution,संकल्प
doxt,doxt
blog,ब्लॉग
ney year,नया साल
NEW YEAR BEER,नया साल बीर
NEW YEAR CELEBRATION,नए साल का उत्सव
NEW YEAR 2020,नई साल 2020
NAAYA SAAL,नाय साल
NAAYE SAAL KI BADHAYI HO,नए साल की बधाई हो
New beer,नई बीयर
New year champagne,नया साल शैंपेन
New year flower,नया साल फूल
new year best wishes,नव वर्ष की हार्दिक शुभकामनाएँ
it's 2020,यह 2020 है
taking off,निकल रहा हूं
office time,कार्यलय समय
if you are bad then i am your dad,अगर तुम बुरे हो तो मैं तुम्हारा पिता हूं
moustaches,मूंछें
coding seekh le,कोडिंग सीक और
kuch to gadbad h,कुछ तो गड़बड़ ह
ghotala,घोटाला
thak gaya,थक गया
karne se hoga,करने से होगा
tu beer hai,आप बियर है
funding aagyi,निधि आंगी
employe,नौकर
cup of my tea,मेरी चाय का प्याला
we need to talk,हमें बात करने की जरूरत है
welcome to the team,टीम में स्वागत है
salary aagyi,वेतन aagyi
Abba harmonium khate hai,अब्बा हारमोनियम कहते है
harmomium,हरमोनियम बाजा
khate hai,कहते है
abba harmonium,अब्बा हारमोनियम
bajate the,बजाते थे
Auchhhhhiiii,औछःठीई
auuchhii,ाऊछी
aauuu,aauuu
tabhiyat kharab,तभियात ख़राब
naak band,नाक की पट्टी
ek cup chai,एक कप चाय
saardi,saardi
aaj bahut thand hai,आज बहुत ठण्ड है
bahot thand,बहोत ठण्ड
too cold,बहुत ठंडा
winter lover,सर्दियों का प्रेमी
i luv winter,मैं लूव सर्दी
bahot thandi hai,बहुत ठंडी है
bahot saardi,बहोत सार्डी
it's too cold,बहोत ठंडा है
uffff ye thand,ओफ्फ़ तु थंड
ufff ye thandi,किसी भी तांदी को उफ करें
ufff ye winter,ufff तु सर्दियों
ye saardi,इसके अलावा सर
uffffff,उफ्फ्फफ्फ्फ़
vibes,वाइब्स
winter is here,सर्दी आ गई
is here,यहाँ है
